
==================== Iteration 0 ====================
[Iter 0 | Rank 0] Shapes: {'images': torch.Size([4, 29, 3, 1280, 720]), 'first_ref_image': torch.Size([4, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([4, 18, 4096]), 'clip_text_embed': torch.Size([4, 768])}
[Iter 0 | Rank 1] Shapes: {'images': torch.Size([1, 117, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 108, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 0 | Rank 2] Shapes: {'images': torch.Size([2, 45, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 255, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 0 | Rank 3] Shapes: {'images': torch.Size([1, 85, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 223, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 0 | Rank 4] Shapes: {'images': torch.Size([1, 105, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 247, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 0 | Rank 5] Shapes: {'images': torch.Size([6, 13, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 7, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 0 | Rank 6] Shapes: {'images': torch.Size([3, 37, 3, 1280, 720]), 'first_ref_image': torch.Size([3, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([3, 107, 4096]), 'clip_text_embed': torch.Size([3, 768])}
[Iter 0 | Rank 7] Shapes: {'images': torch.Size([2, 53, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 189, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 0 | Rank 8] Shapes: {'images': torch.Size([1, 109, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 246, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 0 | Rank 9] Shapes: {'images': torch.Size([1, 81, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 209, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 0 | Rank 10] Shapes: {'images': torch.Size([2, 65, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 149, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 0 | Rank 11] Shapes: {'images': torch.Size([5, 25, 3, 1280, 720]), 'first_ref_image': torch.Size([5, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([5, 144, 4096]), 'clip_text_embed': torch.Size([5, 768])}
[Iter 0 | Rank 12] Shapes: {'images': torch.Size([1, 125, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 192, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 0 | Rank 13] Shapes: {'images': torch.Size([1, 73, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 214, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 0 | Rank 14] Shapes: {'images': torch.Size([1, 93, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 183, 4096]), 'clip_text_embed': torch.Size([1, 768])}
